Sample,Species,Treatment,SandBurialDuration,RecoveryDuration,fvfm
230406CMRe_3-1,Ls-NTCR (Lithophyllum sp.),Buried,1m,4,0.569
230406CMRe_3-3,Ls-NTCR (Lithophyllum sp.),Control,1m,4,0.692
230406CMRe_3-5,Ls-NTCR (Lithophyllum sp.),Control,1m,4,0.667
230406CMRe_3-6,Ls-NTCR (Lithophyllum sp.),Buried,1m,4,0.575
230406CMRe_3-8,Ls-NTCR (Lithophyllum sp.),Control,1m,4,0.674
230406CMRe_4-2,Ls-NTCR (Lithophyllum sp.),Buried,1m,4,0.582
230406CMRe_4-5,Ls-NTCR (Lithophyllum sp.),Control,1m,4,0.626
230406CMRe_6-3,Ls-NTCR (Lithophyllum sp.),Buried,1m,4,0.522
230406CMRe_1-17,Ls-NTCR (Lithophyllum sp.),Buried,1m,5,0.553
230406CMRe_3-1,Ls-NTCR (Lithophyllum sp.),Buried,1m,5,0.629
230406CMRe_3-3,Ls-NTCR (Lithophyllum sp.),Control,1m,5,0.664
230406CMRe_3-5,Ls-NTCR (Lithophyllum sp.),Control,1m,5,0.656
230406CMRe_3-6,Ls-NTCR (Lithophyllum sp.),Buried,1m,5,0.607
230406CMRe_3-8,Ls-NTCR (Lithophyllum sp.),Control,1m,5,0.673
230406CMRe_4-2,Ls-NTCR (Lithophyllum sp.),Buried,1m,5,0.529
230406CMRe_4-5,Ls-NTCR (Lithophyllum sp.),Control,1m,5,0.643
230406CMRe_6-3,Ls-NTCR (Lithophyllum sp.),Buried,1m,5,0.5
230406CMRe_1-17,Ls-NTCR (Lithophyllum sp.),Buried,1m,6,0.438
230406CMRe_3-1,Ls-NTCR (Lithophyllum sp.),Buried,1m,6,0.586
230406CMRe_3-3,Ls-NTCR (Lithophyllum sp.),Control,1m,6,0.608
230406CMRe_3-5,Ls-NTCR (Lithophyllum sp.),Control,1m,6,0.363
230406CMRe_3-6,Ls-NTCR (Lithophyllum sp.),Buried,1m,6,0.529
230406CMRe_3-8,Ls-NTCR (Lithophyllum sp.),Control,1m,6,0.606
230406CMRe_4-2,Ls-NTCR (Lithophyllum sp.),Buried,1m,6,0.5
230406CMRe_4-5,Ls-NTCR (Lithophyllum sp.),Control,1m,6,0.584
230406CMRe_6-3,Ls-NTCR (Lithophyllum sp.),Buried,1m,6,0.529
230406CMRe_1-17,Ls-NTCR (Lithophyllum sp.),Buried,1m,7,0.519
230406CMRe_3-1,Ls-NTCR (Lithophyllum sp.),Buried,1m,7,0.578
230406CMRe_3-3,Ls-NTCR (Lithophyllum sp.),Control,1m,7,0.645
230406CMRe_3-5,Ls-NTCR (Lithophyllum sp.),Control,1m,7,0.572
230406CMRe_3-6,Ls-NTCR (Lithophyllum sp.),Buried,1m,7,0.604
230406CMRe_3-8,Ls-NTCR (Lithophyllum sp.),Control,1m,7,0.584
230406CMRe_4-2,Ls-NTCR (Lithophyllum sp.),Buried,1m,7,0.535
230406CMRe_4-5,Ls-NTCR (Lithophyllum sp.),Control,1m,7,0.612
230406CMRe_6-3,Ls-NTCR (Lithophyllum sp.),Buried,1m,7,0.489
230406CMRe_1-17,Ls-NTCR (Lithophyllum sp.),Buried,1m,14,0.523
230406CMRe_3-1,Ls-NTCR (Lithophyllum sp.),Buried,1m,14,0.53
230406CMRe_3-3,Ls-NTCR (Lithophyllum sp.),Control,1m,14,0.574
230406CMRe_3-5,Ls-NTCR (Lithophyllum sp.),Control,1m,14,0.731
230406CMRe_3-6,Ls-NTCR (Lithophyllum sp.),Buried,1m,14,0.532
230406CMRe_3-8,Ls-NTCR (Lithophyllum sp.),Control,1m,14,0.58
230406CMRe_4-2,Ls-NTCR (Lithophyllum sp.),Buried,1m,14,0.534
230406CMRe_4-5,Ls-NTCR (Lithophyllum sp.),Control,1m,14,0.556
230406CMRe_6-3,Ls-NTCR (Lithophyllum sp.),Buried,1m,14,0.514
230406CMRe_1-17,Ls-NTCR (Lithophyllum sp.),Buried,1m,21,0.478
230406CMRe_3-1,Ls-NTCR (Lithophyllum sp.),Buried,1m,21,0.55
230406CMRe_3-3,Ls-NTCR (Lithophyllum sp.),Control,1m,21,0.693
230406CMRe_3-5,Ls-NTCR (Lithophyllum sp.),Control,1m,21,0.61
230406CMRe_3-6,Ls-NTCR (Lithophyllum sp.),Buried,1m,21,0.561
230406CMRe_3-8,Ls-NTCR (Lithophyllum sp.),Control,1m,21,0.58
230406CMRe_4-2,Ls-NTCR (Lithophyllum sp.),Buried,1m,21,0.54
230406CMRe_4-5,Ls-NTCR (Lithophyllum sp.),Control,1m,21,0.637
230406CMRe_6-3,Ls-NTCR (Lithophyllum sp.),Buried,1m,21,0.541
230406CMRe_1-17,Ls-NTCR (Lithophyllum sp.),Buried,1m,28,0.547
230406CMRe_3-1,Ls-NTCR (Lithophyllum sp.),Buried,1m,28,0.611
230406CMRe_3-3,Ls-NTCR (Lithophyllum sp.),Control,1m,28,0.639
230406CMRe_3-5,Ls-NTCR (Lithophyllum sp.),Control,1m,28,0.613
230406CMRe_3-6,Ls-NTCR (Lithophyllum sp.),Buried,1m,28,0.519
230406CMRe_3-8,Ls-NTCR (Lithophyllum sp.),Control,1m,28,0.578
230406CMRe_4-2,Ls-NTCR (Lithophyllum sp.),Buried,1m,28,0.57
230406CMRe_4-5,Ls-NTCR (Lithophyllum sp.),Control,1m,28,0.566
230406CMRe_6-3,Ls-NTCR (Lithophyllum sp.),Buried,1m,28,0.556
230406CMRe_1-10,Ls-NTCR (Lithophyllum sp.),Buried,3m,0,0.097
230406CMRe_3-2,Ls-NTCR (Lithophyllum sp.),Buried,3m,0,0.153
230406CMRe_3-3,Ls-NTCR (Lithophyllum sp.),Control,3m,0,0.63
230406CMRe_3-5,Ls-NTCR (Lithophyllum sp.),Control,3m,0,0.671
230406CMRe_3-8,Ls-NTCR (Lithophyllum sp.),Control,3m,0,0.639
230406CMRe_3-9,Ls-NTCR (Lithophyllum sp.),Buried,3m,0,0.28
230406CMRe_4-4,Ls-NTCR (Lithophyllum sp.),Buried,3m,0,0.239
230406CMRe_4-5,Ls-NTCR (Lithophyllum sp.),Control,3m,0,0.681
230406CMRe_4-6,Ls-NTCR (Lithophyllum sp.),Buried,3m,0,0.16
230406CMRe_1-10,Ls-NTCR (Lithophyllum sp.),Buried,3m,1,0.104
230406CMRe_3-2,Ls-NTCR (Lithophyllum sp.),Buried,3m,1,0.228
230406CMRe_3-3,Ls-NTCR (Lithophyllum sp.),Control,3m,1,0.588
230406CMRe_3-5,Ls-NTCR (Lithophyllum sp.),Control,3m,1,0.501
230406CMRe_3-8,Ls-NTCR (Lithophyllum sp.),Control,3m,1,0.632
230406CMRe_3-9,Ls-NTCR (Lithophyllum sp.),Buried,3m,1,0.066
230406CMRe_4-4,Ls-NTCR (Lithophyllum sp.),Buried,3m,1,0.2
230406CMRe_4-5,Ls-NTCR (Lithophyllum sp.),Control,3m,1,0.539
230406CMRe_4-6,Ls-NTCR (Lithophyllum sp.),Buried,3m,1,0.207
230406CMRe_1-10,Ls-NTCR (Lithophyllum sp.),Buried,3m,2,0.223
230406CMRe_3-2,Ls-NTCR (Lithophyllum sp.),Buried,3m,2,0.172
230406CMRe_3-3,Ls-NTCR (Lithophyllum sp.),Control,3m,2,0.561
230406CMRe_3-5,Ls-NTCR (Lithophyllum sp.),Control,3m,2,0.586
230406CMRe_3-8,Ls-NTCR (Lithophyllum sp.),Control,3m,2,0.625
230406CMRe_3-9,Ls-NTCR (Lithophyllum sp.),Buried,3m,2,0.222
230406CMRe_4-4,Ls-NTCR (Lithophyllum sp.),Buried,3m,2,0.376
230406CMRe_4-5,Ls-NTCR (Lithophyllum sp.),Control,3m,2,0.548
230406CMRe_4-6,Ls-NTCR (Lithophyllum sp.),Buried,3m,2,0.311
230406CMRe_1-10,Ls-NTCR (Lithophyllum sp.),Buried,3m,3,0.119
230406CMRe_3-2,Ls-NTCR (Lithophyllum sp.),Buried,3m,3,0.225
230406CMRe_3-3,Ls-NTCR (Lithophyllum sp.),Control,3m,3,0.577
